Temperatura_0.1_2b_bestCoordinates,-16.819135499999998,0.4319932066503475,0.0,0.0,0.6636998000000001,0.010333994995160375,0.9826206000000001,0.012320892631623748
Temperatura_0.2_2b_bestCoordinates,-16.9007014,0.18723343648034615,0.0,0.0,0.6664805,0.014533069863246376,0.9948910999999999,0.0030808552854686326
Temperatura_0.3_2b_bestCoordinates,-15.918630799999999,1.1204614050660375,0.0,0.0,0.7769503999999999,0.11482299445598865,1.3226796,0.31893039149011804
Temperatura_0.4_2b_bestCoordinates,-13.7922531,0.6415503623715679,0.0,0.0,0.9139815,0.02324298893537575,1.6698855,0.02310687863494331
Temperatura_0.5_2b_bestCoordinates,-12.463173699999999,0.3661391865389583,0.0,0.0,0.9148982,0.019064181832955773,1.6770964,0.03895742278488146
Temperatura_0.6_2b_bestCoordinates,-12.038539800000002,0.4244594752486507,0.0,0.0,0.9267996000000001,0.02171408485845074,1.6909638999999999,0.031388082536051805
Temperatura_0.7_2b_bestCoordinates,-11.715873899999998,0.4548558716319817,0.0,0.0,0.9454311000000001,0.05965678239806433,1.7377847,0.06839382341417974
Temperatura_0.8_2b_bestCoordinates,-11.3254388,0.38325975355046094,0.0,0.0,0.9831014999999999,0.06122135410173479,1.8076906999999998,0.06452652691110843
Temperatura_0.9_2b_bestCoordinates,-11.021157400000003,0.31113145921497537,0.0,0.0,1.1088065,0.1120913087230674,1.9590785999999998,0.10560729179483774
Temperatura_1.0_2b_bestCoordinates,-10.1750705,0.5147892195687961,0.0,0.0,1.1318163,0.07382981466189661,2.0359322,0.12265487872954745
Temperatura_1.1_2b_bestCoordinates,-10.0875828,0.5913945920565729,0.0,0.0,1.2137081000000003,0.10729110004324681,2.1592826,0.13495491692650544
Temperatura_1.2_2b_bestCoordinates,-9.805626,0.4561990494016839,0.0,0.0,1.2308620000000001,0.12362918669877268,2.2474928000000003,0.14808544058738515
Temperatura_1.3_2b_bestCoordinates,-9.590312800000001,0.8788814168741765,0.0,0.0,1.3260436,0.04769183538552485,2.2667728,0.08846118516705503
Temperatura_1.4_2b_bestCoordinates,-8.901982900000002,0.6897215631707405,0.0,0.0,1.2977511,0.08276685198610613,2.2889063,0.19268540416339272
Temperatura_1.5_2b_bestCoordinates,-9.616791700000002,0.952472932489953,0.0,0.0,1.2714309,0.11435493388170885,2.2935544000000005,0.15429692511595944
Temperatura_1.6_2b_bestCoordinates,-9.0706028,0.9480227870103968,0.0,0.0,1.2907756,0.05547867257640544,2.3866762,0.13359664180345251
Temperatura_1.7_2b_bestCoordinates,-9.354157,0.5170351680524252,0.0,0.0,1.3387004,0.05189261761214209,2.4598656,0.05143652050090476
Temperatura_1.8_2b_bestCoordinates,-8.0338457,0.7654635451595392,0.0,0.0,1.3472124,0.06182417186052719,2.4772337,0.09358352589430467
Temperatura_1.9_2b_bestCoordinates,-8.6231165,1.0039415298974588,0.0,0.0,1.395679,0.041437216236132474,2.5440513000000005,0.07943841210906721
Temperatura_2.0_2b_bestCoordinates,-8.653129499999999,1.0841017318908084,0.0,0.0,1.3590301999999999,0.046838600704547095,2.5459842,0.07777355661251452
