Step	t	Current temperature	KineticEnergy	Potential Energy	Internal Energy	Pressure	Density	RgH	RgP	RgAll	Bond length Average
15000	1.500000	0.101418	8.366944	-78.555665	-70.188721	0.000004	0.000040	2.840375	2.914467	2.898380	1.000000
25000	2.500000	0.102181	8.429944	-104.816337	-96.386393	0.000004	0.000040	2.629081	2.695268	2.681628	1.000000
26000	2.600000	0.101212	8.349967	-106.492300	-98.142333	0.000004	0.000040	2.609928	2.667341	2.657469	1.000000
28000	2.800000	0.100405	8.283391	-109.243865	-100.960474	0.000004	0.000040	2.579031	2.612898	2.612455	1.000000
32000	3.200000	0.100284	8.273408	-114.465667	-106.192259	0.000004	0.000040	2.527315	2.549573	2.552635	1.000000
37000	3.700000	0.099984	8.248672	-121.125424	-112.876753	0.000004	0.000040	2.434281	2.491548	2.481129	1.000000
38000	3.800000	0.101453	8.369885	-121.584482	-113.214596	0.000004	0.000040	2.420499	2.492082	2.475721	1.000000
41000	4.100000	0.098301	8.109861	-124.733632	-116.623771	0.000004	0.000040	2.377900	2.482186	2.452908	1.000000
47000	4.700000	0.099628	8.219281	-126.562088	-118.342807	0.000004	0.000040	2.305326	2.434746	2.393289	1.000000
48000	4.800000	0.101274	8.355132	-126.935415	-118.580283	0.000004	0.000040	2.295407	2.417904	2.378633	1.000000
52000	5.200000	0.101192	8.348316	-128.018575	-119.670259	0.000004	0.000040	2.246532	2.346558	2.315868	1.000000
55000	5.500000	0.097439	8.038690	-128.896747	-120.858057	0.000004	0.000040	2.188328	2.318141	2.276473	1.000000
57000	5.700000	0.101224	8.350994	-129.977792	-121.626798	0.000004	0.000040	2.162107	2.311372	2.261901	1.000000
58000	5.800000	0.099749	8.229297	-131.202026	-122.972729	0.000004	0.000040	2.151097	2.309888	2.257230	1.000000
59000	5.900000	0.100007	8.250544	-130.412318	-122.161774	0.000004	0.000040	2.138378	2.302350	2.248098	1.000000
60000	6.000000	0.100506	8.291720	-131.038334	-122.746614	0.000004	0.000040	2.121731	2.290298	2.234476	1.000000
62000	6.200000	0.098901	8.159300	-131.633121	-123.473822	0.000004	0.000040	2.070004	2.270138	2.202550	1.000000
63000	6.300000	0.103431	8.533049	-131.839892	-123.306843	0.000004	0.000040	2.048379	2.261371	2.189222	1.000000
66000	6.600000	0.102080	8.421589	-134.419646	-125.998057	0.000004	0.000040	2.018216	2.246572	2.168264	1.000000
68000	6.800000	0.097911	8.077683	-135.444135	-127.366452	0.000004	0.000040	1.989589	2.256470	2.163661	1.000000
70000	7.000000	0.099920	8.243385	-135.186312	-126.942927	0.000004	0.000040	1.959823	2.246642	2.146228	1.000000
72000	7.200000	0.101934	8.409538	-137.212839	-128.803300	0.000004	0.000040	1.940785	2.231377	2.129904	1.000000
73000	7.300000	0.100040	8.253272	-136.570994	-128.317722	0.000004	0.000040	1.944865	2.223621	2.126560	1.000000
75000	7.500000	0.100894	8.323776	-135.944001	-127.620224	0.000004	0.000040	1.960461	2.214845	2.126278	1.000000
76000	7.600000	0.099195	8.183566	-135.669212	-127.485646	0.000004	0.000040	1.967970	2.213473	2.127690	1.000000
77000	7.700000	0.099573	8.214812	-134.948133	-126.733321	0.000004	0.000040	1.974929	2.208086	2.126837	1.000000
80000	8.000000	0.100850	8.320166	-135.812963	-127.492797	0.000004	0.000040	1.979853	2.218205	2.136573	1.000000
82000	8.200000	0.098295	8.109307	-135.734108	-127.624801	0.000004	0.000040	1.983684	2.222621	2.140453	1.000000
91000	9.100000	0.101197	8.348731	-132.906809	-124.558078	0.000004	0.000040	1.947045	2.208456	2.117462	1.000000
92000	9.200000	0.099657	8.221707	-133.874488	-125.652781	0.000004	0.000040	1.944893	2.207525	2.116398	1.000000
96000	9.600000	0.100623	8.301401	-138.703547	-130.402146	0.000004	0.000040	1.950399	2.159010	2.087881	1.000000
99000	9.900000	0.100960	8.329198	-139.149450	-130.820251	0.000004	0.000040	1.951700	2.164552	2.092359	1.000000
100000	10.000000	0.097443	8.039071	-137.440363	-129.401292	0.000004	0.000040	1.939042	2.177239	2.096139	1.000000
101000	10.100000	0.101289	8.356374	-136.862015	-128.505641	0.000004	0.000040	1.931637	2.184128	2.097840	1.000000
102000	10.200000	0.101481	8.372170	-138.547776	-130.175607	0.000004	0.000040	1.931681	2.183382	2.096990	1.000000
103000	10.300000	0.098101	8.093373	-137.568504	-129.475131	0.000004	0.000040	1.927814	2.174861	2.089844	1.000000
108000	10.800000	0.100292	8.274099	-138.499729	-130.225629	0.000004	0.000040	1.873868	2.131260	2.042609	1.000000
110000	11.000000	0.100202	8.266703	-137.954008	-129.687304	0.000004	0.000040	1.877149	2.126371	2.040549	1.000000
111000	11.100000	0.100485	8.290017	-138.259537	-129.969520	0.000004	0.000040	1.879282	2.122556	2.038952	1.000000
112000	11.200000	0.099944	8.245365	-137.928528	-129.683164	0.000004	0.000040	1.872623	2.118791	2.034432	1.000000
113000	11.300000	0.103618	8.548518	-138.968258	-130.419740	0.000004	0.000040	1.861135	2.115922	2.028824	1.000000
115000	11.500000	0.096046	7.923761	-138.162917	-130.239155	0.000004	0.000040	1.858509	2.108169	2.023021	1.000000
118000	11.800000	0.100574	8.297344	-137.375700	-129.078356	0.000004	0.000040	1.880655	2.122717	2.039690	1.000000
119000	11.900000	0.099569	8.214442	-137.820617	-129.606176	0.000004	0.000040	1.883499	2.126443	2.043003	1.000000
124000	12.400000	0.099437	8.203583	-136.486852	-128.283269	0.000004	0.000040	1.884990	2.133897	2.046949	1.000000
126000	12.600000	0.100925	8.326351	-139.061371	-130.735021	0.000004	0.000040	1.890777	2.110542	2.034585	1.000000
128000	12.800000	0.102321	8.441469	-140.254661	-131.813192	0.000004	0.000040	1.889200	2.084004	2.017031	1.000000
129000	12.900000	0.098109	8.093982	-140.476722	-132.382741	0.000004	0.000040	1.884850	2.073815	2.008777	1.000000
131000	13.100000	0.099461	8.205514	-141.371265	-133.165751	0.000004	0.000040	1.868643	2.081141	2.007425	1.000000
145000	14.500000	0.100360	8.279667	-141.427580	-133.147913	0.000004	0.000040	1.855679	2.062608	1.991262	1.000000
146000	14.600000	0.101707	8.390840	-142.341952	-133.951112	0.000004	0.000040	1.848330	2.054161	1.982754	1.000000
149000	14.900000	0.100774	8.313885	-141.273833	-132.959948	0.000004	0.000040	1.847855	2.053364	1.981334	1.000000
153000	15.300000	0.099267	8.189566	-142.638191	-134.448625	0.000004	0.000040	1.855046	2.052285	1.983031	1.000000
154000	15.400000	0.104501	8.621341	-143.575595	-134.954255	0.000004	0.000040	1.851631	2.047715	1.978536	1.000000
156000	15.600000	0.104016	8.581347	-144.257511	-135.676165	0.000004	0.000040	1.841743	2.045913	1.974392	1.000000
160000	16.000000	0.098808	8.151665	-141.525409	-133.373744	0.000004	0.000040	1.868664	2.043026	1.983030	1.000000
161000	16.100000	0.099427	8.202738	-139.856135	-131.653397	0.000004	0.000040	1.860647	2.035184	1.975263	1.000000
163000	16.300000	0.097640	8.055263	-140.860641	-132.805378	0.000004	0.000040	1.839754	2.027744	1.962894	1.000000
164000	16.400000	0.099436	8.203494	-139.866227	-131.662733	0.000004	0.000040	1.836357	2.024234	1.959606	1.000000
165000	16.500000	0.099860	8.238446	-138.556071	-130.317625	0.000004	0.000040	1.834491	2.022474	1.957968	1.000000
166000	16.600000	0.103692	8.554616	-140.930907	-132.376291	0.000004	0.000040	1.837172	2.019883	1.957392	1.000000
167000	16.700000	0.099993	8.249416	-142.211120	-133.961704	0.000004	0.000040	1.834249	2.017918	1.955209	1.000000
171000	17.100000	0.097799	8.068456	-139.788668	-131.720213	0.000004	0.000040	1.828376	2.045229	1.970238	1.000000
172000	17.200000	0.100876	8.322303	-139.731448	-131.409145	0.000004	0.000040	1.831870	2.051446	1.975360	1.000000
175000	17.500000	0.098740	8.146025	-141.174080	-133.028054	0.000004	0.000040	1.799486	2.039318	1.955389	1.000000
177000	17.700000	0.102859	8.485863	-145.269051	-136.783188	0.000004	0.000040	1.790159	2.035201	1.948961	1.000000
178000	17.800000	0.100530	8.293716	-146.776268	-138.482551	0.000004	0.000040	1.781194	2.035868	1.945956	1.000000
179000	17.900000	0.098271	8.107329	-145.539278	-137.431950	0.000004	0.000040	1.765703	2.034192	1.939340	1.000000
181000	18.100000	0.101881	8.405160	-147.436448	-139.031288	0.000004	0.000040	1.739842	2.021329	1.921853	1.000000
182000	18.200000	0.098188	8.100521	-146.803253	-138.702731	0.000004	0.000040	1.729143	2.012560	1.912410	1.000000
183000	18.300000	0.100822	8.317814	-146.972491	-138.654677	0.000004	0.000040	1.718131	2.005738	1.904271	1.000000
184000	18.400000	0.099786	8.232313	-147.136646	-138.904334	0.000004	0.000040	1.716335	2.000154	1.900219	1.000000
185000	18.500000	0.099002	8.167640	-146.274426	-138.106786	0.000004	0.000040	1.724552	1.992703	1.898404	1.000000
186000	18.600000	0.098630	8.136978	-145.943202	-137.806224	0.000004	0.000040	1.730415	1.985803	1.896161	1.000000
187000	18.700000	0.101619	8.383590	-145.210393	-136.826803	0.000004	0.000040	1.727017	1.981010	1.891844	1.000000
188000	18.800000	0.099052	8.171773	-145.161377	-136.989604	0.000004	0.000040	1.720235	1.977227	1.886715	1.000000
189000	18.900000	0.098179	8.099742	-143.807761	-135.708019	0.000004	0.000040	1.717433	1.972631	1.882451	1.000000
190000	19.000000	0.102002	8.415194	-145.099972	-136.684778	0.000004	0.000040	1.719102	1.971121	1.882277	1.000000
191000	19.100000	0.099610	8.217841	-144.889386	-136.671545	0.000004	0.000040	1.718569	1.972930	1.883493	1.000000
192000	19.200000	0.098429	8.120384	-144.466777	-136.346393	0.000004	0.000040	1.715869	1.974886	1.883683	1.000000
195000	19.500000	0.101529	8.376170	-147.697588	-139.321418	0.000004	0.000040	1.720531	1.962736	1.878671	1.000000
196000	19.600000	0.099425	8.202570	-146.951780	-138.749209	0.000004	0.000040	1.712978	1.957337	1.872472	1.000000
197000	19.700000	0.093689	7.729353	-144.587185	-136.857832	0.000004	0.000040	1.704340	1.954181	1.866952	1.000000
199000	19.900000	0.104761	8.642818	-144.305424	-135.662606	0.000004	0.000040	1.723859	1.962836	1.879427	1.000000
203000	20.300000	0.099340	8.195552	-143.425343	-135.229791	0.000004	0.000040	1.723790	1.968828	1.881938	1.000000
