Step	t	Current temperature	KineticEnergy	Potential Energy	Internal Energy	Pressure	Density	RgH	RgP	RgAll	Bond length Average
203000	20.300000	0.098541	8.129653	-138.119424	-129.989771	0.000004	0.000040	1.813728	2.016627	1.967874	1.000000
205000	20.500000	0.101854	8.402917	-137.801911	-129.398994	0.000004	0.000040	1.794698	2.023689	1.965593	1.000000
208000	20.800000	0.099793	8.232935	-139.214411	-130.981476	0.000004	0.000040	1.790157	2.019750	1.962790	1.000000
211000	21.100000	0.098701	8.142869	-138.174849	-130.031980	0.000004	0.000040	1.794542	2.009928	1.956209	1.000000
215000	21.500000	0.101494	8.373256	-140.484252	-132.110996	0.000004	0.000040	1.790684	2.009124	1.953367	1.000000
216000	21.600000	0.098090	8.092463	-140.053352	-131.960889	0.000004	0.000040	1.777184	2.007974	1.948812	1.000000
217000	21.700000	0.101310	8.358041	-139.642030	-131.283989	0.000004	0.000040	1.775140	1.997257	1.942676	1.000000
218000	21.800000	0.100702	8.307927	-141.319414	-133.011487	0.000004	0.000040	1.779167	1.983999	1.936659	1.000000
220000	22.000000	0.101804	8.398851	-139.841012	-131.442161	0.000004	0.000040	1.774467	1.958505	1.919999	1.000000
221000	22.100000	0.103496	8.538453	-141.892387	-133.353934	0.000004	0.000040	1.773836	1.949627	1.915340	1.000000
222000	22.200000	0.099899	8.241680	-142.697373	-134.455693	0.000004	0.000040	1.776644	1.940955	1.911966	1.000000
227000	22.700000	0.101146	8.344553	-143.344903	-135.000349	0.000004	0.000040	1.758783	1.936175	1.910137	1.000000
231000	23.100000	0.100256	8.271081	-141.540489	-133.269409	0.000004	0.000040	1.765103	1.956085	1.924681	1.000000
232000	23.200000	0.101329	8.359670	-142.996947	-134.637277	0.000004	0.000040	1.766105	1.949307	1.921078	1.000000
233000	23.300000	0.096356	7.949375	-141.474926	-133.525551	0.000004	0.000040	1.771554	1.940427	1.917555	1.000000
235000	23.500000	0.099958	8.246507	-143.950017	-135.703510	0.000004	0.000040	1.764063	1.946834	1.917668	1.000000
236000	23.600000	0.098477	8.124333	-142.680361	-134.556028	0.000004	0.000040	1.756140	1.945635	1.913453	1.000000
241000	24.100000	0.099684	8.223970	-143.952825	-135.728856	0.000004	0.000040	1.764627	1.937437	1.913239	1.000000
242000	24.200000	0.099504	8.209109	-143.085257	-134.876148	0.000004	0.000040	1.776751	1.936876	1.917159	1.000000
243000	24.300000	0.099718	8.226762	-143.639261	-135.412499	0.000004	0.000040	1.780477	1.941695	1.921027	1.000000
245000	24.500000	0.099766	8.230696	-144.208128	-135.977433	0.000004	0.000040	1.781657	1.945545	1.923848	1.000000
247000	24.700000	0.102806	8.481515	-145.699393	-137.217878	0.000004	0.000040	1.788988	1.941728	1.924787	1.000000
248000	24.800000	0.097770	8.066028	-145.040997	-136.974970	0.000004	0.000040	1.785526	1.937739	1.921350	1.000000
249000	24.900000	0.099890	8.240922	-145.035976	-136.795054	0.000004	0.000040	1.777983	1.934817	1.916276	1.000000
250000	25.000000	0.100719	8.309311	-143.878821	-135.569510	0.000004	0.000040	1.771660	1.937083	1.913727	1.000000
251000	25.100000	0.100408	8.283671	-145.497206	-137.213535	0.000004	0.000040	1.771804	1.943495	1.916784	1.000000
252000	25.200000	0.097132	8.013363	-144.651901	-136.638538	0.000004	0.000040	1.777255	1.949129	1.921716	1.000000
254000	25.400000	0.102370	8.445552	-142.457135	-134.011583	0.000004	0.000040	1.786055	1.960544	1.932574	1.000000
255000	25.500000	0.098877	8.157342	-141.581263	-133.423921	0.000004	0.000040	1.778197	1.963770	1.932104	1.000000
256000	25.600000	0.099965	8.247116	-142.716664	-134.469548	0.000004	0.000040	1.772608	1.961859	1.927448	1.000000
257000	25.700000	0.100416	8.284310	-142.472354	-134.188043	0.000004	0.000040	1.774752	1.956644	1.924173	1.000000
258000	25.800000	0.100217	8.267926	-141.991444	-133.723519	0.000004	0.000040	1.780933	1.954789	1.925803	1.000000
259000	25.900000	0.102032	8.417635	-143.702548	-135.284912	0.000004	0.000040	1.790484	1.955227	1.930116	1.000000
260000	26.000000	0.097857	8.073210	-142.785845	-134.712634	0.000004	0.000040	1.798074	1.955033	1.933310	1.000000
263000	26.300000	0.098108	8.093870	-142.389636	-134.295766	0.000004	0.000040	1.799420	1.951708	1.930319	1.000000
264000	26.400000	0.104244	8.600132	-142.997440	-134.397308	0.000004	0.000040	1.790432	1.949142	1.925814	1.000000
266000	26.600000	0.097304	8.027590	-142.750540	-134.722950	0.000004	0.000040	1.783514	1.950919	1.928649	1.000000
267000	26.700000	0.100734	8.310564	-142.689591	-134.379027	0.000004	0.000040	1.791355	1.955614	1.935985	1.000000
269000	26.900000	0.101286	8.356094	-143.354674	-134.998580	0.000004	0.000040	1.801359	1.964734	1.943574	1.000000
271000	27.100000	0.099113	8.176820	-145.151386	-136.974565	0.000004	0.000040	1.782985	1.968176	1.937461	1.000000
272000	27.200000	0.101154	8.345240	-143.668436	-135.323196	0.000004	0.000040	1.781740	1.968276	1.935884	1.000000
273000	27.300000	0.103637	8.550059	-144.659210	-136.109151	0.000004	0.000040	1.791387	1.967670	1.938793	1.000000
274000	27.400000	0.100249	8.270551	-145.505687	-137.235136	0.000004	0.000040	1.800502	1.969846	1.943318	1.000000
275000	27.500000	0.097862	8.073602	-145.131347	-137.057746	0.000004	0.000040	1.804474	1.970224	1.944842	1.000000
277000	27.700000	0.099061	8.172506	-143.583677	-135.411171	0.000004	0.000040	1.787846	1.956953	1.932141	1.000000
278000	27.800000	0.098400	8.118032	-143.467142	-135.349110	0.000004	0.000040	1.769063	1.953084	1.923103	1.000000
282000	28.200000	0.102444	8.451655	-143.675833	-135.224177	0.000004	0.000040	1.776602	1.939716	1.915728	1.000000
283000	28.300000	0.099890	8.240946	-144.910847	-136.669901	0.000004	0.000040	1.771687	1.932543	1.909685	1.000000
284000	28.400000	0.098929	8.161603	-145.159718	-136.998115	0.000004	0.000040	1.767336	1.922772	1.902980	1.000000
286000	28.600000	0.099008	8.168141	-145.932850	-137.764709	0.000004	0.000040	1.761619	1.926839	1.903354	1.000000
287000	28.700000	0.100661	8.304544	-145.726436	-137.421892	0.000004	0.000040	1.759272	1.938908	1.909915	1.000000
289000	28.900000	0.099159	8.180584	-143.738808	-135.558224	0.000004	0.000040	1.762198	1.951125	1.919043	1.000000
291000	29.100000	0.100045	8.253752	-144.148849	-135.895097	0.000004	0.000040	1.765166	1.955869	1.921760	1.000000
294000	29.400000	0.099904	8.242083	-144.773452	-136.531368	0.000004	0.000040	1.745333	1.927227	1.895532	1.000000
297000	29.700000	0.098928	8.161520	-144.444561	-136.283040	0.000004	0.000040	1.774967	1.958424	1.926169	1.000000
299000	29.900000	0.102432	8.450668	-141.339164	-132.888496	0.000004	0.000040	1.786366	1.983141	1.946397	1.000000
